agency_cd,site_no,datetime,tz_cd,01_00060,01_00060_cd
USGS,9073300,5/1/16 0:00,MDT,26,P
USGS,9073300,5/1/16 0:15,MDT,26,P
USGS,9073300,5/1/16 0:30,MDT,26,P
USGS,9073300,5/1/16 0:45,MDT,25,P
USGS,9073300,5/1/16 1:00,MDT,25,P
USGS,9073300,5/1/16 1:15,MDT,26,P
USGS,9073300,5/1/16 1:30,MDT,26,P
USGS,9073300,5/1/16 1:45,MDT,25,P
USGS,9073300,5/1/16 2:00,MDT,26,P
USGS,9073300,5/1/16 2:15,MDT,25,P
USGS,9073300,5/1/16 2:30,MDT,25,P
USGS,9073300,5/1/16 2:45,MDT,25,P
USGS,9073300,5/1/16 3:00,MDT,25,P
USGS,9073300,5/1/16 3:15,MDT,26,P
USGS,9073300,5/1/16 3:30,MDT,25,P
USGS,9073300,5/1/16 3:45,MDT,25,P
USGS,9073300,5/1/16 4:00,MDT,25,P
USGS,9073300,5/1/16 4:15,MDT,25,P
USGS,9073300,5/1/16 4:30,MDT,25,P
USGS,9073300,5/1/16 4:45,MDT,25,P
USGS,9073300,5/1/16 5:00,MDT,25,P
USGS,9073300,5/1/16 5:15,MDT,25,P
USGS,9073300,5/1/16 5:30,MDT,25,P
USGS,9073300,5/1/16 5:45,MDT,25,P
USGS,9073300,5/1/16 6:00,MDT,25,P
USGS,9073300,5/1/16 6:15,MDT,25,P
USGS,9073300,5/1/16 6:30,MDT,25,P
USGS,9073300,5/1/16 6:45,MDT,25,P
USGS,9073300,5/1/16 7:00,MDT,25,P
USGS,9073300,5/1/16 7:15,MDT,25,P
USGS,9073300,5/1/16 7:30,MDT,25,P
USGS,9073300,5/1/16 7:45,MDT,25,P
USGS,9073300,5/1/16 8:00,MDT,25,P
USGS,9073300,5/1/16 8:15,MDT,25,P
USGS,9073300,5/1/16 8:30,MDT,25,P
USGS,9073300,5/1/16 8:45,MDT,25,P
USGS,9073300,5/1/16 9:00,MDT,24,P
USGS,9073300,5/1/16 9:15,MDT,25,P
USGS,9073300,5/1/16 9:30,MDT,25,P
USGS,9073300,5/1/16 9:45,MDT,25,P
USGS,9073300,5/1/16 10:00,MDT,25,P
USGS,9073300,5/1/16 10:15,MDT,25,P
USGS,9073300,5/1/16 10:30,MDT,25,P
USGS,9073300,5/1/16 10:45,MDT,25,P
USGS,9073300,5/1/16 11:00,MDT,25,P
USGS,9073300,5/1/16 11:15,MDT,25,P
USGS,9073300,5/1/16 11:30,MDT,25,P
USGS,9073300,5/1/16 11:45,MDT,25,P
USGS,9073300,5/1/16 12:00,MDT,24,P
USGS,9073300,5/1/16 12:15,MDT,24,P
USGS,9073300,5/1/16 12:30,MDT,24,P
USGS,9073300,5/1/16 12:45,MDT,24,P
USGS,9073300,5/1/16 13:00,MDT,24,P
USGS,9073300,5/1/16 13:15,MDT,24,P
USGS,9073300,5/1/16 13:30,MDT,24,P
USGS,9073300,5/1/16 13:45,MDT,24,P
USGS,9073300,5/1/16 14:00,MDT,24,P
USGS,9073300,5/1/16 14:15,MDT,24,P
USGS,9073300,5/1/16 14:30,MDT,24,P
USGS,9073300,5/1/16 14:45,MDT,24,P
USGS,9073300,5/1/16 15:00,MDT,24,P
USGS,9073300,5/1/16 15:15,MDT,25,P
USGS,9073300,5/1/16 15:30,MDT,25,P
USGS,9073300,5/1/16 15:45,MDT,25,P
USGS,9073300,5/1/16 16:00,MDT,25,P
USGS,9073300,5/1/16 16:15,MDT,25,P
USGS,9073300,5/1/16 16:30,MDT,25,P
USGS,9073300,5/1/16 16:45,MDT,25,P
USGS,9073300,5/1/16 17:00,MDT,26,P
USGS,9073300,5/1/16 17:15,MDT,26,P
USGS,9073300,5/1/16 17:30,MDT,25,P
USGS,9073300,5/1/16 17:45,MDT,26,P
USGS,9073300,5/1/16 18:00,MDT,25,P
USGS,9073300,5/1/16 18:15,MDT,26,P
USGS,9073300,5/1/16 18:30,MDT,26,P
USGS,9073300,5/1/16 18:45,MDT,27,P
USGS,9073300,5/1/16 19:00,MDT,27,P
USGS,9073300,5/1/16 19:15,MDT,27,P
USGS,9073300,5/1/16 19:30,MDT,27,P
USGS,9073300,5/1/16 19:45,MDT,26,P
USGS,9073300,5/1/16 20:00,MDT,26,P
USGS,9073300,5/1/16 20:15,MDT,26,P
USGS,9073300,5/1/16 20:30,MDT,25,P
USGS,9073300,5/1/16 20:45,MDT,25,P
USGS,9073300,5/1/16 21:00,MDT,25,P
USGS,9073300,5/1/16 21:15,MDT,25,P
USGS,9073300,5/1/16 21:30,MDT,25,P
USGS,9073300,5/1/16 21:45,MDT,25,P
USGS,9073300,5/1/16 22:00,MDT,25,P
USGS,9073300,5/1/16 22:15,MDT,25,P
USGS,9073300,5/1/16 22:30,MDT,25,P
USGS,9073300,5/1/16 22:45,MDT,25,P
USGS,9073300,5/1/16 23:00,MDT,25,P
USGS,9073300,5/1/16 23:15,MDT,25,P
USGS,9073300,5/1/16 23:30,MDT,25,P
USGS,9073300,5/1/16 23:45,MDT,25,P
USGS,9073300,5/2/16 0:00,MDT,25,P
USGS,9073300,5/2/16 0:15,MDT,25,P
USGS,9073300,5/2/16 0:30,MDT,25,P
USGS,9073300,5/2/16 0:45,MDT,25,P
USGS,9073300,5/2/16 1:00,MDT,25,P
USGS,9073300,5/2/16 1:15,MDT,25,P
USGS,9073300,5/2/16 1:30,MDT,25,P
USGS,9073300,5/2/16 1:45,MDT,25,P
USGS,9073300,5/2/16 2:00,MDT,25,P
USGS,9073300,5/2/16 2:15,MDT,25,P
USGS,9073300,5/2/16 2:30,MDT,25,P
USGS,9073300,5/2/16 2:45,MDT,25,P
