# ---------------------------------- WARNING ----------------------------------------
# The data you have obtained from this automated U.S. Geological Survey database
# have not received Director's approval and as such are provisional and subject to
# revision.  The data are released on the condition that neither the USGS nor the
# United States Government may be held liable for any damages resulting from its use.
# Additional info: http://help.waterdata.usgs.gov/policies/provisional-data-statement
#
# File-format description:  http://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: http://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2016-06-23 14:12:34 EDT       (nadww01)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 09073300 ROARING FORK RIVER AB DIFFICULT C NR ASPEN, CO.
# -----------------------------------------------------------------------------------
#
# Data provided for site 09073300
#    DD parameter   Description
#    01   00060     Discharge, cubic feet per second
#
# Data-value qualification codes included in this output: 
#     A  Approved for publication -- Processing and review completed.  
# 
agency_cd	site_no	datetime	tz_cd	01_00060	01_00060_cd
USGS	09073300	2013-06-01 00:00	MDT	95	A
USGS	09073300	2013-06-01 00:15	MDT	94	A
USGS	09073300	2013-06-01 00:30	MDT	94	A
USGS	09073300	2013-06-01 00:45	MDT	94	A
USGS	09073300	2013-06-01 01:00	MDT	95	A
USGS	09073300	2013-06-01 01:15	MDT	92	A
USGS	09073300	2013-06-01 01:30	MDT	92	A
USGS	09073300	2013-06-01 01:45	MDT	92	A
USGS	09073300	2013-06-01 02:00	MDT	92	A
USGS	09073300	2013-06-01 02:15	MDT	92	A
USGS	09073300	2013-06-01 02:30	MDT	92	A
USGS	09073300	2013-06-01 02:45	MDT	92	A
USGS	09073300	2013-06-01 03:00	MDT	90	A
USGS	09073300	2013-06-01 03:15	MDT	90	A
USGS	09073300	2013-06-01 03:30	MDT	89	A
USGS	09073300	2013-06-01 03:45	MDT	89	A
USGS	09073300	2013-06-01 04:00	MDT	89	A
USGS	09073300	2013-06-01 04:15	MDT	89	A
USGS	09073300	2013-06-01 04:30	MDT	89	A
USGS	09073300	2013-06-01 04:45	MDT	89	A
USGS	09073300	2013-06-01 05:00	MDT	89	A
USGS	09073300	2013-06-01 05:15	MDT	87	A
USGS	09073300	2013-06-01 05:30	MDT	87	A
USGS	09073300	2013-06-01 05:45	MDT	89	A
USGS	09073300	2013-06-01 06:00	MDT	87	A
USGS	09073300	2013-06-01 06:15	MDT	87	A
USGS	09073300	2013-06-01 06:30	MDT	87	A
USGS	09073300	2013-06-01 06:45	MDT	86	A
USGS	09073300	2013-06-01 07:00	MDT	86	A
USGS	09073300	2013-06-01 07:15	MDT	86	A
USGS	09073300	2013-06-01 07:30	MDT	87	A
USGS	09073300	2013-06-01 07:45	MDT	86	A
USGS	09073300	2013-06-01 08:00	MDT	86	A
USGS	09073300	2013-06-01 08:15	MDT	86	A
USGS	09073300	2013-06-01 08:30	MDT	86	A
USGS	09073300	2013-06-01 08:45	MDT	86	A
USGS	09073300	2013-06-01 09:00	MDT	86	A
USGS	09073300	2013-06-01 09:15	MDT	86	A
USGS	09073300	2013-06-01 09:30	MDT	86	A
USGS	09073300	2013-06-01 09:45	MDT	86	A
USGS	09073300	2013-06-01 10:00	MDT	86	A
USGS	09073300	2013-06-01 10:15	MDT	83	A
USGS	09073300	2013-06-01 10:30	MDT	86	A
USGS	09073300	2013-06-01 10:45	MDT	84	A
USGS	09073300	2013-06-01 11:00	MDT	84	A
USGS	09073300	2013-06-01 11:15	MDT	84	A
USGS	09073300	2013-06-01 11:30	MDT	84	A
USGS	09073300	2013-06-01 11:45	MDT	86	A
USGS	09073300	2013-06-01 12:00	MDT	84	A
USGS	09073300	2013-06-01 12:15	MDT	84	A
USGS	09073300	2013-06-01 12:30	MDT	84	A
USGS	09073300	2013-06-01 12:45	MDT	84	A
USGS	09073300	2013-06-01 13:00	MDT	84	A
USGS	09073300	2013-06-01 13:15	MDT	86	A
USGS	09073300	2013-06-01 13:30	MDT	86	A
USGS	09073300	2013-06-01 13:45	MDT	84	A
USGS	09073300	2013-06-01 14:00	MDT	83	A
USGS	09073300	2013-06-01 14:15	MDT	84	A
USGS	09073300	2013-06-01 14:30	MDT	84	A
USGS	09073300	2013-06-01 14:45	MDT	83	A
USGS	09073300	2013-06-01 15:00	MDT	83	A
