# ---------------------------------- WARNING ----------------------------------------
# The data you have obtained from this automated U.S. Geological Survey database
# have not received Director's approval and as such are provisional and subject to
# revision.  The data are released on the condition that neither the USGS nor the
# United States Government may be held liable for any damages resulting from its use.
# Additional info: http://help.waterdata.usgs.gov/policies/provisional-data-statement
#
# File-format description:  http://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: http://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2016-06-23 14:13:44 EDT       (nadww01)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 09073400 ROARING FORK RIVER NEAR ASPEN, CO.
# -----------------------------------------------------------------------------------
#
# Data provided for site 09073400
#    DD parameter   Description
#    01   00060     Discharge, cubic feet per second
#
# Data-value qualification codes included in this output: 
#     A  Approved for publication -- Processing and review completed.  
# 
agency_cd	site_no	datetime	tz_cd	01_00060	01_00060_cd
USGS	09073400	2013-06-01 00:00	MDT	183	A
USGS	09073400	2013-06-01 00:15	MDT	183	A
USGS	09073400	2013-06-01 00:30	MDT	183	A
USGS	09073400	2013-06-01 00:45	MDT	183	A
USGS	09073400	2013-06-01 01:00	MDT	183	A
USGS	09073400	2013-06-01 01:15	MDT	183	A
USGS	09073400	2013-06-01 01:30	MDT	183	A
USGS	09073400	2013-06-01 01:45	MDT	183	A
USGS	09073400	2013-06-01 02:00	MDT	183	A
USGS	09073400	2013-06-01 02:15	MDT	178	A
USGS	09073400	2013-06-01 02:30	MDT	181	A
USGS	09073400	2013-06-01 02:45	MDT	181	A
USGS	09073400	2013-06-01 03:00	MDT	178	A
USGS	09073400	2013-06-01 03:15	MDT	178	A
USGS	09073400	2013-06-01 03:30	MDT	176	A
USGS	09073400	2013-06-01 03:45	MDT	176	A
USGS	09073400	2013-06-01 04:00	MDT	176	A
USGS	09073400	2013-06-01 04:15	MDT	174	A
USGS	09073400	2013-06-01 04:30	MDT	176	A
USGS	09073400	2013-06-01 04:45	MDT	176	A
USGS	09073400	2013-06-01 05:00	MDT	174	A
USGS	09073400	2013-06-01 05:15	MDT	171	A
USGS	09073400	2013-06-01 05:30	MDT	171	A
USGS	09073400	2013-06-01 05:45	MDT	174	A
USGS	09073400	2013-06-01 06:00	MDT	171	A
USGS	09073400	2013-06-01 06:15	MDT	171	A
USGS	09073400	2013-06-01 06:30	MDT	169	A
USGS	09073400	2013-06-01 06:45	MDT	169	A
USGS	09073400	2013-06-01 07:00	MDT	169	A
USGS	09073400	2013-06-01 07:15	MDT	167	A
USGS	09073400	2013-06-01 07:30	MDT	167	A
USGS	09073400	2013-06-01 07:45	MDT	167	A
USGS	09073400	2013-06-01 08:00	MDT	167	A
USGS	09073400	2013-06-01 08:15	MDT	165	A
USGS	09073400	2013-06-01 08:30	MDT	165	A
USGS	09073400	2013-06-01 08:45	MDT	165	A
USGS	09073400	2013-06-01 09:00	MDT	160	A
USGS	09073400	2013-06-01 09:15	MDT	162	A
USGS	09073400	2013-06-01 09:30	MDT	160	A
USGS	09073400	2013-06-01 09:45	MDT	160	A
USGS	09073400	2013-06-01 10:00	MDT	158	A
USGS	09073400	2013-06-01 10:15	MDT	160	A
USGS	09073400	2013-06-01 10:30	MDT	158	A
USGS	09073400	2013-06-01 10:45	MDT	160	A
USGS	09073400	2013-06-01 11:00	MDT	158	A
USGS	09073400	2013-06-01 11:15	MDT	158	A
USGS	09073400	2013-06-01 11:30	MDT	160	A
USGS	09073400	2013-06-01 11:45	MDT	160	A
USGS	09073400	2013-06-01 12:00	MDT	160	A
USGS	09073400	2013-06-01 12:15	MDT	160	A
USGS	09073400	2013-06-01 12:30	MDT	160	A
USGS	09073400	2013-06-01 12:45	MDT	158	A
USGS	09073400	2013-06-01 13:00	MDT	158	A
USGS	09073400	2013-06-01 13:15	MDT	156	A
USGS	09073400	2013-06-01 13:30	MDT	158	A
USGS	09073400	2013-06-01 13:45	MDT	156	A
USGS	09073400	2013-06-01 14:00	MDT	156	A
USGS	09073400	2013-06-01 14:15	MDT	156	A
USGS	09073400	2013-06-01 14:30	MDT	156	A
USGS	09073400	2013-06-01 14:45	MDT	156	A
USGS	09073400	2013-06-01 15:00	MDT	156	A
USGS	09073400	2013-06-01 15:15	MDT	156	A
USGS	09073400	2013-06-01 15:30	MDT	154	A
USGS	09073400	2013-06-01 15:45	MDT	156	A
USGS	09073400	2013-06-01 16:00	MDT	156	A
USGS	09073400	2013-06-01 16:15	MDT	156	A
USGS	09073400	2013-06-01 16:30	MDT	156	A
USGS	09073400	2013-06-01 16:45	MDT	158	A
USGS	09073400	2013-06-01 17:00	MDT	158	A
USGS	09073400	2013-06-01 17:15	MDT	158	A
USGS	09073400	2013-06-01 17:30	MDT	160	A
USGS	09073400	2013-06-01 17:45	MDT	162	A
USGS	09073400	2013-06-01 18:00	MDT	167	A
USGS	09073400	2013-06-01 18:15	MDT	167	A
USGS	09073400	2013-06-01 18:30	MDT	169	A
USGS	09073400	2013-06-01 18:45	MDT	174	A
